Trader,Wallet,Account Value,PNL,ROI,Volume
0x77c3...5e45,0x77c3ea550d2da44b120e55071f57a108f8dd5e45,"$383,503,173.15","$191,531,322.95",93.47%,$114.89
thank you jefef,0xfae95f601f3a25ace60d19dbb929f2a5c57e3571,"$129,592,349.99","$132,830,483.88","3,089.41%","$4,655,922.47"
0x9794...333b,0x9794bbbc222b6b93c1417d01aa1ff06d42e5333b,"$125,027,291.46","$106,028,775.17",558.09%,"$26,418,280.98"
0xecb6...2b00,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,"$111,002,630.87","$94,106,370.44",93.23%,"$116,616,733,919.42"
0x20c2...44f5,0x20c2d95a3dfdca9e9ad12794d5fa6fad99da44f5,"$39,946,685.11","$84,218,333.39",81.37%,"$834,677,709.15"
0x5d83...4fb6,0x5d83bb3313240cab65e2e9200d3aaf3520474fb6,"$82,641,759.06","$79,803,886.88","2,812.10%",$0.00
jefe,0x51156f7002c4f74f4956c9e0f2b7bfb6e9dbfac2,"$83,778,381.40","$74,528,986.52",618.38%,"$11,881,334.74"
0x0d44...8c0b,0x0d446c3372a9ba9cddef0eef7a1afab6dc0e8c0b,"$70,355,294.60","$70,330,903.07","117,218.17%",$0.00
0x716b...1d95,0x716bd8d3337972db99995dda5c4b34d954a61d95,"$143,574,644.86","$65,672,743.06",53.27%,$0.00
0xbde2...60b1,0xbde2ddc49a2e6827300faa6afc93d572114a60b1,"$64,504,309.46","$62,253,837.66","2,766.26%","$2,045.92"
